Title,Author,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Date Read,Date Added,Bookshelves,Exclusive Shelf,My Review,Read Count,Owned Copies
"The Way Through The Woods (Inspector Morse, #10)",Colin Dexter,3,4.12,Pan Macmillan,Paperback,320.0,2007.0,2012/05/27,2011/05/02,,read,,1,0
"The Tourist (Milo Weaver, #1)",Olen Steinhauer,0,3.78,Minotaur Books/Macmillan,Hardcover,408.0,2009.0,,2012/05/24,to-read,to-read,,0,0
"A Drink Before the War (Kenzie & Gennaro, #1)",Dennis Lehane,0,3.93,Mariner Books,Paperback,282.0,2003.0,,2012/05/20,to-read,to-read,,0,0
"The Jewel That Was Ours (Inspector Morse, #9)",Colin Dexter,3,3.89,Pan Books,Paperback,368.0,2007.0,2012/05/20,2011/07/21,,read,,1,0
Extremely Loud & Incredibly Close,Jonathan Safran Foer,5,3.97,Mariner Books Classics,Paperback,326.0,2006.0,2012/05/13,2012/04/08,,read,,1,0
"The Brass Verdict (The Lincoln Lawyer, #2; Harry Bosch Universe, #19)",Michael    Connelly,4,4.22,"Little, Brown & Company",Hardcover,422.0,2008.0,2012/05/01,2011/10/09,,read,,1,0
"The Princess of Burundi (Ann Lindell, #4)",Kjell Eriksson,3,3.43,Minotaur Books,Paperback,320.0,2007.0,2012/04/28,2012/02/25,,read,,1,0
"Echo Park (Harry Bosch, #12; Harry Bosch Universe, #17)",Michael    Connelly,5,4.18,"Little, Brown & Company",Hardcover,405.0,2006.0,2012/04/09,2011/10/09,,read,,1,0
"Theodore Boone: Kid Lawyer (Theodore Boone, #1)",John Grisham,3,3.79,Listening Library,Audiobook,263.0,2010.0,,2012/04/08,,read,,1,0
"The Closers (Harry Bosch, #11; Harry Bosch Universe, #15)",Michael    Connelly,5,4.19,Grand Central Publishing,Paperback,432.0,2006.0,2012/04/08,2011/10/09,,read,,1,0
The House of the Spirits,Isabel Allende,4,4.29,Dial Press Trade Paperback,Paperback,448.0,2005.0,,2012/04/05,,read,,1,0
Ficciones,Jorge Luis Borges,0,4.41,Grove Press,Paperback,174.0,1994.0,,2012/04/05,to-read,to-read,,0,0
"The Weed That Strings the Hangman's Bag (Flavia de Luce, #2)",Alan Bradley,4,3.99,Delacorte Press,Hardcover,364.0,2010.0,2012/04/05,2012/03/29,,read,,1,0
"The Narrows (Harry Bosch, #10; Harry Bosch Universe, #14)",Michael    Connelly,5,4.19,"Little, Brown and Company",Paperback,436.0,2006.0,2012/04/02,2011/10/09,,read,,1,0
"The Bomber (Annika Bengtzon, #4)",Liza Marklund,3,3.46,Vintage Canada,Paperback,528.0,2011.0,2012/03/29,2012/03/17,,read,,1,0
"Burned (Henning Juul, #1)",Thomas Enger,5,3.74,Faber & Faber.,Hardcover,416.0,2011.0,2012/03/06,2011/07/26,,read,,1,0
"En plats i solen (Annika Bengtzon, #8)",Liza Marklund,0,3.6,Pocketförlaget,Mass Market Paperback,470.0,2009.0,,2012/03/17,to-read,to-read,,0,0
"Livstid (Annika Bengtzon, #7)",Liza Marklund,0,3.68,Piratförlaget,Hardcover,428.0,2007.0,,2012/03/17,to-read,to-read,,0,0
Nobels testamente (Annika Bengtzon #6),Liza Marklund,0,3.61,Gyldendal,Paperback,512.0,2006.0,,2012/03/17,to-read,to-read,,0,0
"Paradies (Annika Bengtzon, #2)",Liza Marklund,0,3.49,Rowohlt Tb.,Paperback,480.0,2003.0,,2012/03/17,to-read,to-read,,0,0
"Prime-Time (Annika Bengtzon, #3)",Liza Marklund,0,3.38,Hoffmann & Campe,Hardcover,416.0,2003.0,,2012/03/17,to-read,to-read,,0,0
"Red Wolf (Annika Bengtzon, #5)",Liza Marklund,0,3.52,Atria,Hardcover,400.0,2011.0,,2012/03/17,to-read,to-read,,0,0
"Lost Light (Harry Bosch, #9; Harry Bosch Universe, #13)",Michael    Connelly,5,4.22,Warner Vision Books,Mass Market Paperback,385.0,2004.0,2012/03/14,2011/10/09,,read,,1,0
"The Quantum Thief (Jean le Flambeur, #1)",Hannu Rajaniemi,0,3.82,Gollancz,Hardcover,336.0,2010.0,,2012/03/11,to-read,to-read,,0,0
"The Reversal (The Lincoln Lawyer, #3; Harry Bosch Universe, #22)",Michael    Connelly,4,4.21,"Little, Brown and Company",Hardcover,389.0,2010.0,2012/03/04,2011/10/09,,read,,1,0
Before I Go to Sleep,S.J. Watson,3,3.9,Black Swan,Paperback,372.0,2012.0,2012/02/28,2012/01/03,,read,,1,0
The Continental Op,Dashiell Hammett,0,4.14,Orion,Paperback,288.0,2004.0,,2012/02/24,to-read,to-read,,0,0
The Bridge of Sighs (The Yalta Boulevard Sequence #1),Olen Steinhauer,0,3.72,Minotaur Books,Paperback,278.0,2004.0,,2012/02/23,to-read,to-read,,0,0
"City of Bones (Harry Bosch, #8; Harry Bosch Universe, #11)",Michael    Connelly,5,4.13,Grand Central Publishing,Paperback,408.0,2006.0,2012/02/23,2011/10/09,,read,,1,0
Caught,Harlan Coben,3,4.01,Dutton,Hardcover,388.0,2010.0,2012/02/19,2012/02/12,,read,,1,0
"Falling Immortality (Casey Holden, Private Investigator #1)",Robert Downs,0,3.26,"Rainbow Books, Inc.",Paperback,234.0,2011.0,,2012/02/12,to-read,to-read,,0,0
"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)",Alan Bradley,4,3.82,Delacorte Press,Hardcover,374.0,2009.0,2012/02/12,2012/01/31,,read,,1,0
The Confession (The Yalta Boulevard Sequence #2),Olen Steinhauer,0,3.88,Minotaur Books,Paperback,336.0,2005.0,,2012/02/06,to-read,to-read,,0,0
"The Hidden Child (Patrik Hedström, #5)",Camilla Läckberg,5,4.01,Harper,Unknown Binding,506.0,2011.0,2012/02/05,2012/01/26,,read,,1,0
Jacob,Simon Beckett,2,3.2,Bompiani,Hardcover,475.0,2010.0,,2011/03/13,,read,,1,0
"The Stonecutter (Patrik Hedström, #3)",Camilla Läckberg,2,3.93,HarperCollins Publishers Ltd,Audio CD,10.0,2010.0,,2011/04/13,,read,,1,0
"Sun Storm (Rebecka Martinsson, #1)",Åsa Larsson,4,3.62,Delta,Paperback,310.0,2006.0,,2012/01/05,,read,,1,0
"The Distant Shore (Stone, #1)",Mariam Kobras,0,3.44,Buddhapuss Ink LLC,Paperback,366.0,2012.0,,2012/01/26,to-read,to-read,,0,0
Banshee in the Well,Robin Lovejoy-Tolkien,0,3.93,Sting Publications,Kindle Edition,98.0,2012.0,,2012/01/26,to-read,to-read,,0,0
Hold Tight,Harlan Coben,0,3.95,Dutton,Hardcover,416.0,2008.0,,2012/01/26,to-read,to-read,,0,0
The Woods,Harlan Coben,0,4.06,Dutton Adult,Hardcover,404.0,2007.0,,2012/01/26,to-read,to-read,,0,0
Snow Falling on Cedars,David Guterson,4,3.86,Vintage,Paperback,460.0,1995.0,,2011/05/28,,read,,1,0
The Shadow Man,John Katzenbach,0,3.83,Ballantine Books,Mass Market Paperback,437.0,1996.0,,2012/01/22,to-read,to-read,,0,0
The Fear Index,Robert   Harris,3,3.54,Hutchinson,Hardcover,323.0,2011.0,2012/01/22,2012/01/15,,read,,1,0
Girl in Translation,Jean Kwok,4,3.99,Riverhead,Hardcover,305.0,2010.0,2012/01/21,2012/01/12,,read,,1,0
"Der Mann, der kein Mörder war  (Sebastian Bergman, #1)",Various,5,4.04,Rowohlt Polaris,Paperback,592.0,2011.0,2012/01/07,2012/01/05,,read,,1,0
The Power of the Dog,Don Winslow,5,4.37,Arrow Books,Paperback,542.0,2006.0,2012/01/15,2012/01/05,,read,,1,0
"Imperium (Cicero, #1)",Robert   Harris,3,4.13,Simon & Schuster,Hardcover,305.0,2006.0,2012/01/15,2012/01/07,,read,,1,0
The Guns of August,Barbara W. Tuchman,0,4.18,Ballantine Books,Paperback,606.0,2004.0,,2012/01/11,to-read,to-read,,0,0
The Soprano Wore Falsettos (The Liturgical Mystery #4),Mark Schweizer,0,4.13,Not Avail,Paperback,208.0,2006.0,,2012/01/11,to-read,to-read,,0,0
"Something Rotten (Thursday Next, #4)",Jasper Fforde,0,4.16,Penguin Books,Paperback,385.0,2005.0,,2012/01/11,to-read,to-read,,0,0
"Shades of Grey (Shades of Grey, #1)",Jasper Fforde,0,4.15,Penguin Group Viking Adult,Hardcover,400.0,2009.0,,2012/01/11,to-read,to-read,,0,0
"The Eyre Affair (Thursday Next, #1)",Jasper Fforde,0,3.89,Penguin Books,Paperback,374.0,2003.0,,2012/01/11,to-read,to-read,,0,0
"The Well of Lost Plots (Thursday Next, #3)",Jasper Fforde,0,4.09,Penguin Publishing Group,Paperback,381.0,2004.0,,2012/01/11,to-read,to-read,,0,0
"Lost in a Good Book (Thursday Next, #2)",Jasper Fforde,0,4.13,Penguin Books,Paperback,399.0,2004.0,,2012/01/11,to-read,to-read,,0,0
"White Jazz (L.A. Quartet, #4)",James Ellroy,0,3.92,Knopf Doubleday Publishing Group,Paperback,354.0,2001.0,,2012/01/10,to-read,to-read,,0,0
"The Big Nowhere (L.A. Quartet, #2)",James Ellroy,0,4.09,Random House,Paperback,472.0,1994.0,,2012/01/10,to-read,to-read,,0,0
"L.A. Confidential (L.A. Quartet, #3)",James Ellroy,0,4.18,Arrow,Paperback,496.0,1994.0,,2012/01/10,to-read,to-read,,0,0
"The Black Dahlia (L.A. Quartet, #1)",James Ellroy,0,3.78,Mysterious Press,Paperback,348.0,2006.0,,2012/01/10,to-read,to-read,,0,0
"Unbreakable (The Legion, #1)",Kami Garcia,0,3.78,"Little, Brown Books for Young Readers",Hardcover,305.0,2013.0,,2012/01/10,to-read,to-read,,0,0
American Tabloid (Underworld USA #1),James Ellroy,0,4.2,Vintage Books,Paperback,592.0,2001.0,,2012/01/09,to-read,to-read,,0,0
"The Chill of Night (McCabe & Savage Thriller, #2)",James Hayman,0,4.08,Minotaur Books,Hardcover,352.0,2010.0,,2012/01/08,to-read,to-read,,0,0
"The Cutting (McCabe and Savage Thriller, #1)",James Hayman,0,4.04,Minotaur Books,Hardcover,336.0,2009.0,,2012/01/08,to-read,to-read,,0,0
Until I Find You,John Irving,0,3.66,Ballantine Books,Paperback,820.0,2006.0,,2011/03/13,to-read,to-read,,0,0
The Road,Cormac McCarthy,0,4.0,Alfred A. Knopf,Hardcover,241.0,2006.0,,2011/02/19,to-read,to-read,,0,0
Mad About Trade: Why Main Street America should Embrace Globalization,Daniel T. Griswold,0,3.92,Cato Institute,Hardcover,208.0,2009.0,,2011/02/19,to-read,to-read,,0,0
"American Gods (American Gods, #1)",Neil Gaiman,0,4.1,Headline Review,Paperback,635.0,2005.0,,2011/02/19,to-read,to-read,,0,0
Death Comes To Pemberley,P.D. James,0,3.3,Faber & Faber,Hardcover,310.0,2011.0,,2011/12/12,to-read,to-read,,0,0
"Lustrum (Cicero, #2)",Robert   Harris,0,4.25,Arrow,Paperback,452.0,2010.0,,2012/01/06,to-read,to-read,,0,0
Fatherland,Robert   Harris,0,4.02,Harper Paperbacks,Paperback,380.0,1992.0,,2012/01/07,to-read,to-read,,0,0
Pompeii,Robert   Harris,0,3.87,Random House Trade Paperbacks,Paperback,274.0,2005.0,,2012/01/07,to-read,to-read,,0,0
Saeculum,Ursula Poznanski,4,3.92,Loewe,Paperback,493.0,2011.0,2011/12/24,2012/01/06,,read,,1,0
Die Perspektive des Gärtners,Håkan Nesser,3,3.42,btb,Hardcover,320.0,2010.0,2012/01/02,2012/01/06,,read,,1,0
"Der Hundertjährige, der aus dem Fenster stieg und verschwand",Jonas Jonasson,5,3.82,carl's books,Broschiert,415.0,2011.0,2012/01/06,2012/01/06,,read,,1,0
The Day of the Jackal,Frederick Forsyth,0,4.27,Bantam,Mass Market Paperback,358.0,1979.0,,2012/01/05,to-read,to-read,,0,0
The Odessa File,Frederick Forsyth,0,4.14,Bantam Books,Mass Market Paperback,334.0,1995.0,,2012/01/05,to-read,to-read,,0,0
"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,0,3.95,Vintage Crime,Paperback,231.0,1988.0,,2012/01/05,to-read,to-read,,0,0
"The Long Good-bye (Philip Marlowe, #6)",Raymond Chandler,0,4.19,Penguin,Paperback,447.0,2005.0,,2012/01/05,to-read,to-read,,0,0
"Bangkok Haunts (Sonchai Jitpleecheep, #3)",John Burdett,0,3.77,Alfred A. Knopf,Hardcover,305.0,2007.0,,2012/01/05,to-read,to-read,,0,0
"Bangkok Tattoo (Sonchai Jitpleecheep, #2)",John Burdett,0,3.8,Knopf Doubleday Publishing Group,Paperback,320.0,2006.0,,2012/01/05,to-read,to-read,,0,0
"Bangkok 8 (Sonchai Jitpleecheep, #1)",John Burdett,0,3.75,Knopf Doubleday Publishing Group,Paperback,317.0,2004.0,,2012/01/05,to-read,to-read,,0,0
"The Fifth Witness (The Lincoln Lawyer, #4; Harry Bosch Universe, #23)",Michael    Connelly,5,4.23,"Little, Brown and Company",Hardcover,421.0,2011.0,2012/01/05,2011/10/09,,read,,1,0
The Night Circus,Erin Morgenstern,0,4.01,Doubleday,Hardcover,506.0,2011.0,,2012/01/03,to-read,to-read,,0,0
"Smokin' Seventeen (Stephanie Plum, #17)",Janet Evanovich,0,3.99,Random House Audio,Audio CD,6.0,2011.0,,2012/01/03,to-read,to-read,,0,0
"New York to Dallas (In Death, #33)",J.D. Robb,0,4.45,Brilliance Audio,Audio CD,14.0,2011.0,,2012/01/03,to-read,to-read,,0,0
"1Q84 (1Q84, #1-3)",Haruki Murakami,0,3.95,Knopf,Hardcover,944.0,2011.0,,2012/01/03,to-read,to-read,,0,0
"Blood Work (Harry Bosch Universe, #7)",Michael    Connelly,4,4.16,Warner Books,Mass Market Paperback,498.0,2002.0,2011/12/26,2011/10/09,,read,,1,0
Bad Blood (Lydia Chin & Bill Smith #6),S.J. Rozan,0,3.96,Ebury Press,Paperback,356.0,2010.0,,2011/03/13,to-read,to-read,,0,0
"A Darkness More Than Night (Harry Bosch, #7; Harry Bosch Universe, #10)",Michael    Connelly,4,4.16,Little Brown and Company,Hardcover,418.0,2000.0,2011/12/18,2011/12/10,,read,,1,0
I Am a Cat,Natsume Sōseki,0,3.68,Tuttle Publishing,Paperback,470.0,2001.0,,2011/12/11,to-read,to-read,,0,0
Gently Does It,Alan Hunter,3,3.78,Robinson Publishing,Paperback,250.0,2010.0,2011/12/10,2011/11/25,,read,,1,0
"Explosive Eighteen (Stephanie Plum, #18)",Janet Evanovich,0,3.98,Bantam,Hardcover,305.0,2011.0,,2011/12/06,to-read,to-read,,0,0
"A Cold Day for Murder (Kate Shugak, #1)",Dana Stabenow,0,3.76,Berkley,Mass Market Paperback,208.0,1992.0,,2011/12/04,to-read,to-read,,0,0
"About Schmidt (Schmidt, #1)",Louis Begley,0,3.22,Random House Publishing Group,Paperback,275.0,1997.0,,2011/11/23,to-read,to-read,,0,0
Wartime Lies,Louis Begley,0,3.75,Ballantine Books,Paperback,240.0,1997.0,,2011/11/23,to-read,to-read,,0,0
"Angels Flight (Harry Bosch, #6; Harry Bosch Universe, #8)",Michael    Connelly,3,4.23,Grand Central Publishing,Mass Market Paperback,454.0,2000.0,2011/11/16,2011/10/09,,read,,1,0
"Trunk Music (Harry Bosch, #5; Harry Bosch Universe, #6)",Michael    Connelly,3,4.21,St. Martin's Paperbacks,Mass Market Paperback,448.0,2006.0,2011/11/11,2011/10/09,,read,,1,0
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,5,4.55,Bantam Books,Paperback,1008.0,2002.0,2011/11/05,2011/10/17,,read,,1,0
Anil's Ghost,Michael Ondaatje,3,3.58,Vintage,Paperback,311.0,2001.0,,2011/10/16,,read,,1,0
The English Patient,Michael Ondaatje,3,3.86,McClelland & Stewart,Hardcover,320.0,2006.0,,2011/10/16,,read,,1,0
Crime Beat: A Decade of Covering Cops and Killers,Michael    Connelly,0,3.39,"Little, Brown and Company ",Hardcover,375.0,2006.0,,2011/10/09,to-read,to-read,,0,0
The Wench is Dead (Inspector Morse #8),Colin Dexter,5,3.92,Pan Books,Paperback,260.0,2007.0,2011/10/06,2011/07/21,,read,,1,0
"Feast Day of Fools (Hackberry Holland, #3)",James Lee Burke,0,3.98,Simon & Schuster,Hardcover,463.0,2011.0,,2011/10/02,to-read,to-read,,0,0
Reamde,Neal Stephenson,0,3.99,William Morrow,Hardcover,1044.0,2011.0,,2011/10/02,to-read,to-read,,0,0
When She Woke,Hillary Jordan,0,3.68,Algonquin Books,Hardcover,344.0,2011.0,,2011/10/02,to-read,to-read,,0,0
"The Last Templar (Templar, #1)",Raymond Khoury,2,3.62,Berkley,Mass Market Paperback,544.0,2006.0,,2011/07/03,,read,,1,0
The Thousand Autumns of Jacob de Zoet,David Mitchell,5,4.03,Random House,Hardcover,479.0,2010.0,2011/09/17,2011/09/04,,read,,1,0
"The White Queen (The Plantagenet and Tudor Novels, #2)",Philippa Gregory,0,3.96,Atria Books,Hardcover,415.0,2009.0,,2011/09/06,to-read,to-read,,0,0
"The Secret of Annexe 3 (Inspector Morse, #7)",Colin Dexter,4,3.87,Pan MacMillan,Paperback,301.0,2007.0,2011/09/05,2011/05/02,,read,,1,0
The Art of War,Sun Tzu,4,3.95,Harper Press,Paperback,170.0,2005.0,,2011/08/14,,read,,1,0
"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,5,4.49,Houghton Mifflin,Paperback,322.0,1993.0,,2011/08/14,,read,,1,0
A Midsummer Night’s Dream,William Shakespeare,5,3.94,Simon & Schuster,Mass Market Paperback,298.0,2016.0,,2011/08/14,,read,,1,0
"Walden or, Life in the Woods",Henry David Thoreau,3,3.78,Princeton University Press,Paperback,352.0,2004.0,,2011/08/14,,read,,1,0
The Unbearable Lightness of Being,Milan Kundera,4,4.11,Harper Perennial,Paperback,314.0,2009.0,,2011/08/14,,read,,1,0
Roots: The Saga of an American Family,Alex Haley,5,4.44,Dell,Mass Market Paperback,729.0,1980.0,,2011/08/14,,read,,1,0
Gulliver’s Travels,Jonathan Swift,3,3.59,Penguin,Paperback,306.0,2017.0,,2011/08/14,,read,,1,0
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,5,4.58,Del Rey,Mass Market Paperback,404.0,2003.0,,2011/08/14,,read,,1,0
Leaves of Grass,Walt Whitman,4,4.12,Simon  Schuster,Paperback,624.0,2006.0,,2011/08/14,,read,,1,0
The Call of the Wild,Jack London,3,3.91,Scholastic,Mass Market Paperback,172.0,2001.0,,2011/08/14,,read,,1,0
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,5,4.19,Bantam Classics,Mass Market Paperback,448.0,1983.0,,2011/08/14,,read,,1,0
Macbeth,William Shakespeare,5,3.89,Simon & Schuster,Mass Market Paperback,249.0,2013.0,,2011/08/14,,read,,1,0
The Stranger,Albert Camus,3,4.03,Vintage International,Paperback,123.0,1989.0,,2011/08/14,,read,,1,0
The Metamorphosis,Franz Kafka,3,3.89,Bantam Classics,Mass Market Paperback,201.0,1972.0,,2011/08/14,,read,,1,0
All Quiet on the Western Front,Erich Maria Remarque,5,4.1,Ballantine Books,Mass Market Paperback,296.0,1987.0,,2011/08/14,,read,,1,0
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,5,4.4,Houghton Mifflin Harcourt,Paperback,398.0,2003.0,,2011/08/14,,read,,1,0
A Thousand Splendid Suns,Khaled Hosseini,0,4.45,Riverhead Books,Hardcover,372.0,2007.0,,2011/08/14,to-read,to-read,,0,0
The Book Thief,Markus Zusak,3,4.39,Alfred A. Knopf,Kindle Edition,592.0,2006.0,,2011/08/14,,read,,1,0
The Color Purple,Alice Walker,3,4.27,Pocket,Paperback,295.0,2004.0,,2011/08/14,,read,,1,0
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,5,4.22,Del Rey Books,Mass Market Paperback,216.0,2005.0,,2011/08/14,,read,,1,0
The Little Prince,Antoine de Saint-Exupéry,5,4.33,"Harcourt, Inc.",Hardcover,96.0,2000.0,,2011/08/14,,read,,1,0
"The Hobbit, or There and Back Again",J.R.R. Tolkien,5,4.29,Houghton Mifflin,Paperback,366.0,2002.0,,2011/08/14,,read,,1,0
Romeo and Juliet,William Shakespeare,5,3.74,Washington Square Press,Mass Market Paperback,281.0,2002.0,,2011/08/14,,read,,1,0
To Kill a Mockingbird,Harper Lee,0,4.26,Harper Perennial Modern Classics ,Paperback,323.0,2006.0,,2011/08/14,to-read,to-read,,0,0
The Diary of a Young Girl,Anne Frank,5,4.2,Bantam,Mass Market Paperback,283.0,1993.0,,2011/08/14,,read,,1,0
"The Riddle of the Third Mile (Inspector Morse, #6)",dexter-colin,3,3.85,FisicalBook,Paperback,276.0,1900.0,2011/07/29,2011/05/02,,read,,1,0
The Help,Kathryn Stockett,5,4.46,G.P. Putnam's Sons,Hardcover,464.0,2009.0,2011/08/13,2011/04/30,,read,,1,0
Aunt Julia and the Scriptwriter,Mario Vargas Llosa,3,3.95,Penguin Books,Paperback,374.0,1995.0,,2011/04/07,,read,,1,0
Last Man in Tower,Aravind Adiga,0,3.57,Atlantic Books,Hardcover,422.0,2011.0,,2011/07/24,to-read,to-read,,0,0
"A Ghost In The Machine (Chief Inspector Barnaby, #7)",Caroline Graham,0,3.88,St. Martin's Minotaur,Paperback,512.0,2005.0,,2011/07/24,to-read,to-read,,0,0
"A Place Of Safety (Chief Inspector Barnaby, #6)",Caroline Graham,0,4.01,St. Martin's Paperbacks,Mass Market Paperback,288.0,2001.0,,2011/07/24,to-read,to-read,,0,0
"Faithful Unto Death (Chief Inspector Barnaby, #5)",Caroline Graham,0,3.92,Minotaur Books,Mass Market Paperback,420.0,2000.0,,2011/07/24,to-read,to-read,,0,0
Written In Blood (Chief Inspector Barnaby #4),Caroline Graham,0,4.1,Avon Books,Paperback,369.0,1996.0,,2011/07/24,to-read,to-read,,0,0
"Death In Disguise (Chief Inspector Barnaby, #3)",Caroline Graham,0,3.72,Felony & Mayhem,Paperback,412.0,2007.0,,2011/07/24,to-read,to-read,,0,0
"The Killings at Badger's Drift (Chief Inspector Barnaby, #1)",Caroline Graham,0,3.97,Felony & Mayhem,Paperback,261.0,2005.0,,2011/07/24,to-read,to-read,,0,0
"The Harry Bosch Novels, Volume 2: The Last Coyote / Trunk Music / Angels Flight (Harry Bosch, #4-6)",Michael    Connelly,0,4.51,"Little, Brown and Company",Hardcover,821.0,2003.0,,2011/06/20,to-read,to-read,,0,0
"Death Is Now My Neighbor (Inspector Morse, #12)",Colin Dexter,0,4.08,Pan,Paperback,432.0,2007.0,,2011/07/21,to-read,to-read,,0,0
"The Remorseful Day (Inspector Morse, #13)",Colin Dexter,0,4.25,Pan Books,Paperback,464.0,2007.0,,2011/07/21,to-read,to-read,,0,0
"The Daughters Of Cain (Inspector Morse, #11)",Colin Dexter,0,4.02,Pan Books,Paperback,416.0,2007.0,,2011/07/21,to-read,to-read,,0,0
"The Redbreast (Harry Hole, #3)",Jo Nesbø,4,3.94,Harvill Secker,Paperback,519.0,2006.0,,2011/07/17,,read,,1,0
"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,3,3.97,Ace Books,Mass Market Paperback,292.0,2001.0,2011/07/17,2011/06/18,,read,,1,0
Our Kind of Traitor,Le Carre,5,3.46,Penguin Books,Paperback,306.0,2013.0,2011/07/15,2011/07/09,,read,,1,0
"Spider Bones (Temperance Brennan, #13)",Kathy Reichs,0,3.93,Scribner,Hardcover,306.0,2010.0,,2011/03/13,to-read,to-read,,0,0
"Evermore (The Immortals, #1)",Alyson Noel,2,3.59,St. Martin's Griffin,Paperback,301.0,2009.0,2011/07/08,2011/06/27,,read,,1,0
"The Dead of Jericho (Inspector Morse, #5)",Colin Dexter,4,3.99,Pan Books,Paperback,302.0,2007.0,2011/07/03,2011/06/01,,read,,1,0
Confucius Lives Next Door: What Living in the East Teaches Us About Living in the West,T.R. Reid,0,3.86,Vintage,Paperback,288.0,2000.0,,2011/07/03,,read,,1,0
The Foreign Student,Susan Choi,0,3.43,Harper Perennial,Paperback,336.0,2004.0,,2011/07/03,,read,,1,0
The Terror,Dan Simmons,0,4.09,"Little, Brown and Company",Hardcover,769.0,2007.0,,2011/07/03,,read,,1,0
"Service of All the Dead (Inspector Morse, #4)",Colin Dexter,4,3.97,Pan Books,Paperback,340.0,2007.0,2011/06/30,2011/06/01,,read,,1,0
"True Blood Omnibus (Sookie Stackhouse, #1-3)",Charlaine Harris,0,4.16,Gollancz,Paperback,697.0,,,2011/06/27,to-read,to-read,,0,0
"The Silent World of Nicholas Quinn (Inspector Morse, #3)",Colin Dexter,3,3.81,Pan,Paperback,294.0,2007.0,2011/06/25,2011/06/01,,read,,1,0
"Lily Bard Complete Pb Set 1 5 Shakespeare's Landlord, Shakespeare's Champion, Shakespeare's Christmas, Shakespeare's Trollop, Shakespeare's Counselor (Lily Bard Shakespeare)",Charlaine Harris,0,4.18,,,,,,2011/04/07,to-read,to-read,,0,0
"Last Seen Wearing (Inspector Morse, #2)",Colin Dexter,3,3.83,Pan Books,Paperback,352.0,2007.0,2011/06/22,2011/06/01,,read,,1,0
Frankenstein,Mary Wollstonecraft Shelley,4,3.89,Penguin,Paperback,288.0,2003.0,,2011/06/18,,read,,1,0
"Moby-Dick or, The Whale",Herman Melville,4,3.56,Penguin Classics ,Paperback,720.0,2003.0,,2011/06/18,,read,,1,0
Jane Eyre,Charlotte Brontë,4,4.15,Penguin,Paperback,532.0,2003.0,,2011/06/18,,read,,1,0
War and Peace,Leo Tolstoy,4,4.17,Oxford University Press,Paperback,1392.0,1998.0,,2011/06/18,,read,,1,0
"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,4,4.15,Harper Perennial,Paperback,452.0,2005.0,,2011/06/18,,read,,1,0
"Watership Down (Watership Down, #1)",Richard  Adams,5,4.09,Avon Books,Mass Market Paperback,478.0,1975.0,,2011/06/18,,read,,1,0
Dracula,Bram Stoker,4,4.02,Norton,Paperback,488.0,1986.0,,2011/06/18,,read,,1,0
A Tale of Two Cities,Charles Dickens,4,3.87,Penguin Books,Paperback,489.0,2003.0,,2011/06/18,,read,,1,0
Of Mice and Men,John Steinbeck,3,3.89,Penguin Books,Paperback,107.0,2002.0,,2011/06/18,,read,,1,0
The Picture of Dorian Gray,Oscar Wilde,5,4.13,Random House: Modern Library,Paperback,272.0,2004.0,,2011/06/18,,read,,1,0
The Adventures of Huckleberry Finn,Mark Twain,5,3.83,Penguin Classics,Paperback,327.0,2002.0,,2011/06/18,,read,,1,0
The Alchemist,Paulo Coelho,4,3.92,HarperCollins,Paperback,197.0,1993.0,,2011/06/18,,read,,1,0
The Grapes of Wrath,John Steinbeck,3,4.02,Penguin Books,Paperback,455.0,2002.0,,2011/06/18,,read,,1,0
The Count of Monte Cristo,Alexandre Dumas,4,4.31,Penguin Classics,Paperback,1276.0,2003.0,,2011/06/18,,read,,1,0
Wuthering Heights,Emily Brontë,5,3.9,Norton,Paperback,464.0,2002.0,,2011/06/18,,read,,1,0
Animal Farm,George Orwell,4,4.0,Plume,Paperback,129.0,2003.0,,2011/06/18,,read,,1,0
"Dead in the Family (Sookie Stackhouse, #10)",Charlaine Harris,0,3.9,Ace Books,Hardcover,320.0,2010.0,,2011/06/18,to-read,to-read,,0,0
"Dead and Gone (Sookie Stackhouse, #9)",Charlaine Harris,0,4.02,Ace Books,Hardcover,320.0,2009.0,,2011/06/18,to-read,to-read,,0,0
"From Dead to Worse (Sookie Stackhouse, #8)",Charlaine Harris,0,4.01,Ace Books,Hardcover,368.0,2008.0,,2011/06/18,to-read,to-read,,0,0
"All Together Dead (Sookie Stackhouse, #7)",Charlaine Harris,0,4.05,Ace Books,Hardcover,336.0,2007.0,,2011/06/18,to-read,to-read,,0,0
